texto,classes_problema
Bora para Paratibe agora bairro daqui de uma pessoa tem volta do calendário numa rua a Rua Claudio Marcelo Ferreira e eu já te adianto que a situação por lá meus amigos não tá boa não bora ver a gente sabe e chuva e obra não combina tempo tá abrindo deu uma melhorada O problema é que a Rua Claudio Marcelo Ferreira aqui em Paratibe além de todos buracado como a gente já tá vendo a também deixar cada assim dá para fazer terraplanagem não né aí atrasa o serviço para gente e não é que começou a chover de novo aí amor diminui rebolo para aterrar para segurar o aterro é a chuva ver já desmanchou de novo Tem essa tão vendendo com placa de venda tem essa aqui placa de venda quando é que tem a barriga e capacete tem essa outra aí ela não tava pagando mas ninguém quer assim quem mora aqui tá saindo e ninguém lá Quer vir para cá não é não é muito ruim como a situação lá para baixo tá pior eu vou dar uma descidinha certo aqui já não passa carro mais não meu filho vem mesmo fui até lá embaixo e voltei para que para dar satisfação da prefeitura né eles disseram o seguinte que assim como eu mesmo compro eu vou começar até o serviço mas aí começou a chover se perdeu tudo né Foi verdade esse aterro aí daqui que eles deixaram aqui Achou a primeira que deu levou ela todinha lá para baixo tá passando aquele carro que eles falaram só podem fazer o serviço isso quando parar de chover e o sol secar mais 30 dias deram resposta Estão dispostos a fazer esperando São Pedro Então tá em andamento tem um mês para parar de chover tem um dia bacana e bom para que o pessoal consigo executar aqui a terraplanagem da rua então dia 20 de Agosto a gente volta em Paratibe e se não for para ver o serviço feito que seja pelo menos as máquina trabalhando né que nós tamos aí toda hora Deus quiser vamos acreditar não é o que nos resta a chuva vai parar e a Prefeitura de João Pessoa vai dar continuidade a essa obra bora marcar então 20 de Agosto no nosso calendário virtual a gente volta a Rua Cláudio Marcelo Ferreira aratiba esperando notícia muito boa,ruas
gente me dizer os moradores da Rua Napoleão Crispim tão ansiosos a via sem estrutura tava sendo engolidas pelos buracos ninguém fazia nada eles chamaram calendário JPB e aos poucos os responsáveis foram aparecendo e agora depois de quatro visitas problema começou a ser resolvido era mais que um problema de comunidade era uma situação de emergência olha só a fenda que se abriu aqui na rua por aqui passa também o tubulação de Geisel no Meu medo é isso é uma explosão e mata todo mundo aqui e eu tô super uma situação dessa não é fácil mas é necessário e o calendário JPB começou acompanhar o drama dos moradores da Rua Napoleão Crispim a cada visita uma cobrança para que o problema não fosse esquecido esse buraco aqui é novo foi o que se formou na última chuva se prepara agora para ver como é que tá a situação do restante da rua é buraco e Desmantelo demais a última vez que vocês vieram eles fizeram serviço de terraplanagem que realmente ao menos uma situação era o paliativo a gente sabia disso mas só que infelizmente não pode chover daqui a pouco a rua vai desaparecer vai ser um buraco e quatro meses depois o calendário JPB teve uma ótima surpresa o tão sonhado pedido dos moradores Começou assim ser atendido e a obra de drenagem da rua está em andamento e com brinde por que os moradores dessa rua aqui também foram beneficiados Alexandre quando a gente olha a estrutura que foi feita para receber toda a água da chuva a gente se impressiona Porque grande mesmo né Eu acho que agora vai agora a gente tá com esperança né a obra começou tá andando e a gente tá esperando só agora Eles terminaram para fazer o calçamento que é o que a gente reivindicar de verdade mas olha só a água da chuva nesse ponto aqui do bairro vem com muita força é água que vende diversas ruas e o que acontece quando não tinha essa estrutura de galerias para receber essa água a erosão tomava de conta e começava a formar buracos como esse aqui que até diminuir um pouco de tamanho pela quantidade de aterro que a equipe da ciência colocou aqui mas se a estrutura não fosse resolvida o buraco e aumentar de novo então era um trabalho de enxugar gelo Então essa questão,ruas
calendário JPB 1 hoje tá lá em Santa Rita O problema é uma praça que deveria ser reformada mas até agora o serviço não foi concluído a prefeitura até fez alguns serviços algumas reformas mas parece que o negócio tá parado Danilo Alves mostra tudo para gente vamos ver é o calendário JPB de volta Praça dos quiosques em Santa Rita alegria geral por que por que a gente sempre buscou as melhorias aqui do lugar tão fazendo de pouquinho em pouquinho ajeitando uma coisinha aqui outra coisinha ali faltava um bocado de negócio uma delas o parque para as crianças mostra como é que tava teve um tempo que até tinha mas tava tudo enferrujado velho acabado esculhambado aí depois o calendário voltou e os parques foram retirados segundo a prefeitura para que eles fossem consertados outros eu chegar ou aqueles ajeitadinho ou então 99 sair tudo sem nada agora a gente chegou Eita tem parque aqui para criançada pula-pula pelo menos isso é bom Tudo bem minha filha tudo bem tem brinquedo não mas é particular o das Crianças era para ser ali aí era essa aqui tem que pagar diz uma coisa a iluminação Disseram que ia trocar a iluminação daquela vez pediram uma semana a gente foi dois meses aí a gente dá uma agora me deu um mês né Tá aí uma parceria com a Energisa mas tá do mesmo jeito piso da quadra continua do mesmo jeito tá lá continua quebrado né que precisava de fazer um concerto ou conserto sério né para mim poder Tá descascando que dá para o cimento de soltou aí ele tem que fazer um serviço correto com granito e pintar quadra né para ficar legal mesmo para mim brincar com um ano de calendário e o que foi feito aqui foi as telas que foram colocadas e em vez em quando quando vem o calendário está uma pintada na ao redor de um carro que é para ficar bonitinho a gente vê muito problema né que tem aqui na praça que é sempre estou por aqui a gente sabe como é né podia dar uma ajeitada não com certeza para marcar o caramba agora porque a gente tava esperando a nota da Prefeitura de Santa Rita e a nossa Finalmente chegou primeiro ele justificaram que não foi ninguém da secretaria de infraestrutura para o dia da gravação do calendário Por que todo mundo tava ocupado com e serviços gerados pelas fortes chuvas aí reforçaram que a prefeitura vem realizando a manutenção da Praça dos quiosques que fica lá em Piripiri disseram também que vão trocar toda a iluminação da praça mas não esclarecer não quando o piso vai ser recuperado bem deram a resposta e pelo menos estão mantendo a praça limpa o carinho que a gente vai colocar o andamento mas a gente quer que a praça seja concluída que eliminação seja trocada o piso recuperado enfim que fica tudo bonito para comunidade então,outros(obras)
tem comunidade no JPB agora o calendário Voltou ao José Américo porque tem novidades por lá são duas notícias tá bom uma boa outra ruim bora logo verá boa né Vamos embora Rua João Viegas de Oliveira José Américo a gente acompanha a situação aqui é um bom tempo e você sabe né quando vira o ônibus foi que tá acontecendo agora não sai do meio ele precisava invadir um terreno para continuar o percurso agora não tá conseguindo passar pela rua por onde deve passar mesmo valeu meu motor passou fez a curva bonitinho e foi-se embora chega aí Marquinhos Cardoso no sinal gráfico para mostrar era água empossada aqui muita água mesmo viu pior água suja de esgoto parece que isso aqui resolver todo esse transtorno aqui era causado por causa de ligações clandestinas meninas que foram feitas na rede de esgoto que não estava pronta chegasse mas a Cagepa secou a água que tinha aqui foi não né meu amor esse trabalho que foi feito aqui foi pela empresa de ônibus para amenizar o problema porque do jeito que tava a situação que tava não tem nem condições de ninguém passar e já ameaça de novo de deixar de passar o ônibus por aqui de novo vem mesmo tá entupido completamente entupido tá trabalhando lá embaixo na obra não tá não negativo ninguém trabalha lá embaixo não está muito parado tudo uma passada lá você vai me dar uma passada lá e tá parado ele visualizou olhou ninguém trabalhando não se formou que a obra é preciso ser recitado ou seja contratar uma nova empresa para realizar o serviço isso aí a gente já tinha falado da outra vez e aí essa empresa deu um prazo de fim de Junho para terminar o negócio por isso que a gente voltou agora em início de Julho saber como é que tá a situação aí eles alegaram para o serviço não foi concluído por causa das fortes chuvas que atingiram a capital e a região metropolitana nesse mês de junho ele sabe que ainda tá chovendo alguns dias sim outros não sabe que obra na chuva não anda né isso exatamente por isso que a gente até que entende tá em andamento e o que é que a gente vai fazer um novo prazo que eles deram pessoal é fim de Julho Agosto a gente tá por aqui Será menor tá certo Danilo vamos esperar mais uma vez pode ser dia 12 e 12 de Agosto a gente vem para carimbar o resolvido pela bora marcar para marcar calendário JPB volta ao José Américo aqui em João Pessoa dia 12 de Agosto Mostra aí para mim a marcação por favor é isso Danilo tá louco para dar aquele carinho de Resolvido finalmente,ruas
agora do calendário JPB a gente botou a Cabedelo onde os moradores criaram uma quadra de esportes de volta nós estivemos lá duas vezes e na terceira tem notícia boa para ver a Prefeitura de Cabedelo disse que era burocracia do processo licitatório que estava atrapalhando o início da reforma desta quadra que fica numa praça as empresas que estavam se candidatando para fazer o serviço não estavam cumprindo todas as exigências chegou a hora do calendário JPB saber se tem alguma novidade eu tô vendo que o secretário trouxe o envelope né alguns papéis e eu queria que você me explicasse o que é que esses papéis significa primeiramente a questão aqui da comprovação de que houveram duas licitações já um mês de março e do mês de maio na última na nossa última visita os moradores ficava um pouco receosa né porque eles não viram os papéis desse tá aqui a comprovação de que o velho as estações mas infelizmente as empresas que se candidataram como você me falou não atender as exigências técnicas para poder ter a obra da Então se passou para um processo de dispensa de licitação onde um selo do dinheiro público hoje todas as Existem várias secretarias envolvidas para emitir pareceres para que possa haver essa dispensa saber a contratação de uma nova empresa para que assim a gente possa dar entrada e começar a reforma do tão sonhado ginásio do campeonato da Vila acredito pelas informações colhidas junto às secretarias que entre 15 e 20 dias esse processo é finalizado quando a gente já tem uma estrutura pronta e a Fera para poder dar início a mais confiante porque viu a papelada certeza isso aí é a população vai tudo bem com você também chegou um pouco atrasado né mas chega chegou tô esperando agora que realmente a obra não demore tanto tempo como demorou para chegar no papel a sair do papel muito mais importante por mais que tenha sido demorado nessa parte burocrática mas aí porque é uma escolha mais acertada acontece muitas vezes nas obras públicas de Se começar uma obra e muitas vezes a empresa não ser apta para aquela obra e acabar pela metade ou então não entregar ou atrasar a obra então isso não é o que a gente quer pode perder um pouquinho mais de tempo na parte burocrática no seu caso mas a gente tem que entregar a prova dentro do prazo legal pelo prazo exigido que é de 180 dias para outra fritar e deixar aqui também já com pessoal dentro do calendário que são que é o Projeto as plantas não é do como ficará o quadra vai ficar né juntamente com a praça porque a praça está sendo reformada também lá também tá passa para inclusa também na estação Então vai descobrir academia também o ar livre eu vou deixar com eles aqui na mão deles quando a gente finalizar aqui com sucesso se Deus quiser o calendário na entrega do ginásio ele já tá aqui também com a planta para tá vendo que realmente não vai ficar apenas no papel pela ilustração vai ficar muito bonito Viu o calendário JPB só vai sair daqui quando isso sair do Papel quando a gente vê essa ilustração aqui concretizada perto,outros(obras)
agora de dar aquela força para comunidade é o calendário JPB Então bora direto lá para Bayeux porque Karine Tenório vai mostrar tudo ao vivo hoje Karine Boa tarde Boa tarde Bruno boa tarde pessoal de casa é aquela fiscalização aquela cobrança ao vivo porque o calendário JPB acompanha essa história aqui em Bayeux a 2 anos é com relação a esse ginásio aqui que começou a ser construído depois da obra parou a gente sabe que recentemente a cidade de Barueri mudou de prefeito E aí a obra parou de novo entre os moradores estão naquela agonia para saber quando enfim esse ginásio vai ser entregue para comunidade só para o pessoal de casa tem uma ideia da quantidade de tempo que a gente acompanha a história Cadê o Iago Iago chega assim o Iago tava na barriga da mãe quando a gente chegou aqui na comunidade hoje o Iago Itaquá do tamanho da repórter Bruno e aí Harrison ninguém fica satisfeito ninguém ficar satisfeito porque toda vez em quando porque farrapada aí esperando esperando da última vez que vieram a dois meses atrás eu quero que a concluir mais de 30% não tem ninguém depois que tinha gente trabalhando sim a gente trabalha poucas mas sim a gente ficou parado e nada e dá o prefeito tinha dado o prazo de três meses já passou uns três meses já deu mais outro prazo em cima até agora tá desse jeito a boa notícia é que o secretário-adjunto que já conhece bem essa história tá aqui hoje já vai segura fiz meu calendário vai ter o Régis Olha o secretário está aqui para explicar o que que tá acontecendo com essa mudança de prefeito atrapalhou tudo né Karina primeiro Boa tarde da Paraíba né A procuradoria Municipal contratou um erro no contato dessa obra e com isso cuidado o início uma nova um novo processo licitatório né a secretaria de infraestrutura já fez o novo cronograma físico-financeiro e já foi passado para comissão de licitação Tá previsto ele concluir ainda esse mês o processo de precatório e quando conclui a empresa vencedora terá mais um prazo de 3 meses para poder concluir essa obra São a licitação vai ser concluída esse mês então já não são três meses né porque geralmente uma citação dura 3 meses mas aí ela já tá caminhando para ficar entendi e aí a empresa tem 3 meses para concluir a obra certo não chega para cá você é o guardião do calendário JPB eu sei que hoje não é aquela volta que a gente queria a gente queria mostrar ginásio e pronto mas ele está me garantindo aqui que a licitação tá andando já tá no final é em andamento E aí se a gente contabili usar o tempo que falta né um mês para licitação acabar mais um tempinho para ordem de serviço tá aí pelo menos dois três meses vamos voltar aqui no fim do ano e fazer o que né infelizmente nós temos que aguardar aguardar Mas a gente não vai dizer,outros(obras)
calendário JPB de hoje tá no bairro de Manaíra durante dois anos os moradores sofreram gente mas sofreram com a caatinga na rua por causa do esgoto mas agora a situação está mudando a seinfra aí Lu e a Cagepa perceberam que é grave e começaram a agir em 10 meses essa é a primeira vez que a equipe do calendário JPB tem o prazer de chegar aqui nessa rua e poder respirar quem acompanha essa história sabe que é ser a rua mais perdida que eu já estive por que a água de esgoto a Luis Correia por esse canto entrava nessa galeria aqui ela também está brava nessa tampa aqui de esgoto e a escorrer por essa outra galeria e os moradores daqui passaram 12 anos sofrendo com esse mau cheiro cusquito um certo ponto que não presta aqui e aí me parece que depois de tanta luta parece que tá tendo resultado né tô vendo que tu tá toda bonitona hoje porque agora vale a pena agora vale a pena você sentir o cheiro tanto nosso como não tem um pouco da Caatinga né agora olha vale o pessoal de casa saber que foi preciso essa rua aqui chegar no caos para que isso aqui pudesse acontecer tudo piorou a mais de 20 dias atrás nossos banheiros não estavam funcionando não podemos tomar banho nem usar nossas pias Então eu fui até a prefeitura lá me mandaram para seinfra cheguei lá passei a manhã inteira a tarde mas consegui falar com seu Cássio deve tá tudo na rua eles não acredito que chegou a esse ponto depois chegou já estamos há um bom tempo com ajuda da TV mas até agora nada foi resolvido aí ele pediu socorro pediu ajuda ao pessoal da Cagepa Vitória vai melhorar mais o pessoal tava fazendo um serviço aqui um pouco vem aqui sempre fazer eu estive acompanhando né por dois dias que ele estiver aqui e com certeza vai dar certo é só a gente ir um pouco de paciência dá mais um prazo né E aí quando foi hoje a gente também teve a surpresa boa que o pessoal da Dailus esteve aqui em recolher o lixo graças a Deus a gente começa já fazer o dedo ficar assim porque a gente tamos vendo que tá em andamento teve aqui né dando uma olhada na bomba pessoal de casa deve lembrar que aqui nesse espaço tinha gente criando cavalo criando galinha o espaço foi retomado pela Dura Por que é o espaço público e aí eu tô vendo que tem alguns tijolos aqui essa aqui é a solução que os moradores do bairro de Manaíra e São José esperam para poder ver esse problema solucionado de fato falta muito,outros(saneamento)
calendário já tá vindo aqui né hoje a gente está no mercado público do Geisel Qual o pedido lá uma reforma na área dando condição mínima para que os Comerciantes da população usam de forma digna nós estamos acompanhando esse caso desde 2014 são 22 visitas até agora pessoal nós continuamos firmes e fortes para que o mercado do Geisel ou seja reformada não tem como ser diferente afinal de contas muita gente usa local para comprar né para fazer as compras do dia a dia mas principalmente aquilo ali é a ferramenta de trabalho local de trabalho para muitas e muitas famílias vamos dar uma olhada sabe o que é que falta para ficar pronto o serviço tudo da mesma coisinha na mesma situação das outras visitas que a gente fez eles falaram que ia começar na reportagem anterior que veio aqui disse que ia começar né mas infelizmente não né realmente teve uns pessoal aqui o secretário está cheia que teve Francisco mas o pessoal cobraram outro serviço que é o esgoto tal aí eles ficaram de refazer a planta para começar né aí a gente espera que começa que a gente já tem 5 anos que tá nessa batalha aqui eu gostaria que essa gestão realmente acordasse e viesse fazer algo pelo nosso povo do Geisel que eles ficam nos enganando mas não faz nada não tudo do mesmo jeito enquanto eu vou ajudando aqui meu parceiro minha fera eu vou dizendo que a prefeitura falou a prefeitura diz que ia começar em fevereiro começou alguma coisa tem obra aqui só para tirar medida e depois enviar mais não sabe o que foi eles disseram que tinha um serviço de esgoto para fazer primeiro tem que consertar o esgoto Pois fala com a gente aí depois da Cagepa resolver esse negócio desse esgoto que ia começar a obra aqui aí não começou ainda não dê certo para o seguinte para semana começo quando um ajuda o outro quando todo mundo vai fazendo bastante aí para pagar Valeu um abraço aí trabalhei demais vamos para o calendário 15 de Março tem até assinatura do secretário aqui do orçamento participativo como eles disseram o pessoal tá pelo menos dando resposta tá vindo aqui da cena de ciúmes é o Francisco principalmente do orçamento participativo cilindro do Geisel se chama orçamento participativo 12 12 12 dia do dia 12 a gente bota mercado lugar Tomara que não conseguir você é muito mais que tenha começado né não Explique a obra não começou mais a prefeitura deu uma resposta para a comunidade por isso o carimbo de em andamento a gente espera realmente de coração que os trabalhos começam na semana que vem que o mercado do público lá do Geisel eu fico todo,outros(obras)
Bora do calendário JPB hoje tem o carinho que a gente gosta tanto lá no Expedicionários a Cagepa foi até a Rua Capitão João Freire acabou com o vazamento chato que sempre persistir persistir por lá o destaque de hoje vai também para Dona Iolanda que é uma senhora de 90 anos para lá de simpática que conversou com a nossa equipe a gente está de volta à Rua Capitão João Freire bairro dos Expedicionários aqui para onde eu tô passando agora tempos atrás Mostra aí era impossível ficar aqui nesse local desde a nossa última visita o pessoal da Cagepa disse que tinha resolvido o problema que tinha fechado a rua tinha acabado com esse negócio de vazamento inclusive trocado o tipo de encanação que existe aqui no local antigamente era bem antiga obviamente agora uma nova eles disseram que esse os vazamentos Vão se acabar sempre que fazia serviço aqui a senhora já ficava esperando com os braços de novo é porque não deu para ver mesmo se estourar né porque botaram tudo novo então vamos fazer o seguinte Bora carimbar que resolveu resolvido encerrada né aí a gente mas de toda forma faça o seguinte a senhora fica de olho segure graças a Deus a gente é Ana Lúcia que a filha da senhora né porque ela não tá aqui hoje porque nasceu o netinho dela Parabéns visitar a senhora tá bem tá certo não é fácil não alegria encontrar gente boa como a senhora e consegui ajudar a resolver o problema do Povo ajudar é bom valeu resolveu ajudar poder conhecer esses amigos que a gente vai fazer de tantos anos do calendário de tantas missões que a gente recebeu e que infelizmente a gente tem que conseguir dar conta Claro que tem um outro que fica agarrada Mas a gente não desiste dessa luta a gente vai até o fim todas elas Eu quero fazer um agradecimento especial também aqui a Cagepa pela Agilidade de ter resolvido esse calendário né três visitas,ruas
acabei de falar uma série de tragédias mas aqui no JPB a gente não vive de tragédia graças a Deus aqui também a gente vive de luta de coisa boa para a sociedade e aí o que a gente vai atrás de informação importante para você e serviço que faz a diferença na sua vida então vamos para Santa Rita por lá o problema que o calendário acompanha o seguinte o muro de uma escola no meio da rua atrapalha o vai e vem dos moradores e de quem precisa passar pela rua todo mundo né aí o negócio fica complicado carinho que nós vai mostrar para gente bora lá por causa do muro de uma escola estadual os moradores de uma rua aqui em Várzea Nova só tem uma opção para ir para o outro lado da rua esse caminho estreito e muito inseguro durante a noite e se você tá me vendo caminhando por aqui já sabe que o problema não foi resolvido mas no fim desta Estrada tem novidade eu já tô sabendo que a novidade é boa então Carina e chega de suspense conta a gente que é que tá acontecendo por aí pela primeira vez nós temos aqui na comunidade de um representante da prefeitura para ouvir a reivindicação dos moradores Aliás o próprio Prefeito tá aqui e aí não tem muita conversa não Prefeito eu sei que eu já conheço esse problema de trás para frente de frente para trás eu quero saber da solução solicitação do recuo do Muro do antigo da escola do estado e posteriormente com calçamento ficou orçado em r$ 40000 nós não começamos tão rapidamente Porque existe dois outros problemas parecido então fizemos uma licitação só mas terça-feira se Deus quiser daremos prioridade para o início do recuo do muro e posteriormente o calçamento da Rua Coronel Ribeiro que é uma reivindicação justa da Marvel aí no meio do caminho Vocês não tem mais Rua aí depois volta até Rua de novo mas agora vocês vão ter a rua por completo né O que tava faltando era esse compromisso essa iniciativa da prefeitura E agora já tá garantido aqui no papel já melhorou né não acreditando mais agora com a presença do prefeito as coisas Mudou 100% das outras vezes eu chegava que esse muro vai sair daí não minha filha esse muro não sai daí não senão vai vai agora tá todo mundo acreditando muito acreditando eu mesmo tu Prefeito Vamos para o calendário que a gente vai marcar uma data eu vou apelidar um calendário de presente que é para você não esquecer a data Tá certo vou colocar aqui o carimbo em andamento porque finalmente a história né a gente já tá sentindo firmeza e agora o prefeito vai me dizer uma data boa para o calendário JPB voltar vamos no dia 10 e 10 de dezembro e aí a obra fica pronto eu acho que fica quanto a pronta dia 10 de dezembro se Deus quiser pois é isso mostra a força do calendário e você Karine que sempre nome do esforço para estar com,ruas
agora a briga do calendário em abril calendário mostrou a situação de estudantes de uma escola municipal de Campina Grande estavam sem espaço para recreação fazer umas aulas de educação física debaixo de um sol muito forte eu tivemos lá no segundo bimestre voltamos agora no quarto e o último bimestre letivo vamos ver se tá resolvido para quem não lembra tivemos aqui no dia 20 de Abril deste ano os estudantes da Escola Municipal Cassiano Pascoal Pereira no bairro da Liberdade só tinha apenas um pedido aulas de educação física protegidos do Sol o sol escaldante que castiga eu queria cobertura que fica ruim para a gente brincar no Recreio creio e a situação física casa que também fica ruim para o professor professor já trocou de negócio causa do sol para não ter uma caixa de pele aí eu queria muito a cobertura na nossa escola todo mundo queria a gente chega em casa todo vermelho e mostra ele mostra os amigos também Damião tudinho com olhinho fechado ele não consegue abrir o olho não o sol é quente demais é muito calor e a gente fica muito suado Então você fazia ali que a gente guarda muita garrafa cheia de água porque além do calor a gente sente muita sede de funcionários também Entraram na briga palhaço é difícil ter que ficar procurando uma sombra que na parte da manhã principalmente e não existe não tem então as crianças imagina as crianças se você colocar para ela para colocar dentro quando está chovendo por exemplo a gente tem que fazer dentro da sua sala de aula e menina da sala de aula não tem estrutura para recreação na época a Secretaria Municipal de Educação ficou entre fazer a cobertura na frente da escola ou mudar todo mundo de prédio e oferecer uma estrutura melhor e depois de muita conversa ficou acordado também que uma solução imediata para as crianças seria mudar o horário das aulas de educação física para evitar esse solzão forte voltamos a escola encontramos a diretora Luiza e ela já nos disse que os horários das aulas deram uma mudada no turno da manhã o problema permanece porque a aula começa de 7 horas de educação física termina 9 horas então Sol é muito forte quando vocês tão vendo a tarde a gente conseguiu fazer um ajuste Por que foi construído em uma área na área perto de uma sala e a gente consiga dividir o recreio e a recreação Então tu não datada de conseguiu beneficiar mais o que não da manhã e permanece o mesmo problema só que o dilema de um local coberto para essas aulas continua e a preocupação dos Pais também estamos esperando uma resposta como eu disse a secretaria da Prefeitura de uma solução né,educacao
problema hoje gente o calendário vai mostrar que o calendário vai mostrar a gente acompanha muito tempo eu estive lá a primeira vez com a blitz JPB que já nem existe mais depois disso o calendário assumiu tome visita por lá mas parece que o drama dos moradores do Castelo Branco tá chegando ao fim Bora conferir calendário JPB chegou na praça chuva chegou junto a sorte Aqui tem muita árvore e os moradores só vieram preparados com sombrinha mas não quiseram perder de jeito nenhum a reportagem lá firme e forte aqui deixei lá na missa que pena mas vou deixar eu coração continua forte e a Senhora também né veio equipada aí com a sombrinha mais velho vai sair né mas aí mulher hoje o calendário JPB vem aqui para continuar acompanhando essa história que é uma luta antiga desses moradores então quando a gente olha assim as imagens a gente ainda ver uma praça feia abandonada cheia de mato tudo caindo tem um buraco enorme ali então assim quando a gente chega a gente ainda não fica feliz mas quando a gente tem a convicção que a parte burocrática ela tá caminhando como deve caminhar aí dá um alívio no coração já tem uma esperança muito grande que a reforma vai ser concluída Deus quiser provavelmente esse ano a gente conclui a reforma da gente né que a expectativa o que é que eu tenho de informação Francisco que é o secretário do orçamento participativo ele disse que não poderia estar aqui hoje por um motivo pessoal mas ele já vinha conversando comigo durante a semana explicando a situação sobre a licitação dessa praça e mandou um representante a execução desta obra está nessa pendência de licitação todo tanto legal e legítimo mas porém um prazo de 90 100 dias a gente já começa a executar os serviços da obra nessa praça nesse momento tá em que fase a licitação ela está no processo bem avançado e nesse processo como é um processo que Cabe recurso das empresas tudo mais então prazo máximo É esse mesmo de 100 dias e aí as coisas devem sair do papel para a realidade entendeu aí o que nós queremos e também quero que a população entenda que quando a gente vai fazer uma obra na nossa casa é tão complicado então imagina uma Prefeitura que tudo tem que fazer licitação tudo tem que prestar conta a conta é muito difícil mas estamos aqui não vamos desistir e ainda tá andando a gente coloca aqui em andamento agora quando eu voltar aqui eu já quero colocar o carimbo de Resolvido nós vamos marcar uma data para voltar aqui após esse período eleitoral e a gente já vai encontrar essa Praça pronta então anota aí a data dia 3 de dezembro uma segunda-feira o calendário,outros(obras)
agora tem bronca grande em Bayeux no bairro do Sesi lá são dois problemas um buraco gigante que tá colocando em risco até a vida dos moradores e um esgoto estourado agora eu vou dizer uma coisa viu os dois problemas impressionam você vai ver que não é um simples buraco nem muito menos um vazamento Zinho de água suja tá um caos aqui onde eu tô nessa estrutura de concreto é o único lugar seguro da rua porque o asfalto tá todo cedendo por conta desse buraco e se eu cair aqui dentro sabe Deus onde é que eu vou parar seu robô perto esse buraco aqui tem mais de 2 m né a gente quer pequenininho assim desaparece tchau da Maré desce direto para mandar aqui a Maria que vai se formar nesse buraco Aí ele saiu aqui caiu o seu ali dentro e aqui agora formou de novo Dona Rosilene isso é bem em frente a sua casa tá quanto tempo essa situação conta para mim já está com 45 dias mais de um mês assim esse buraco assim foram chamaram a Cagepa já chamamos os dois órgãos primeiro veio a prefeitura fez um levantamento botaram aquela fita de Proteção Para ninguém se machucar e foram embora três dias depois veio a Cagepa aí só fez olhar e foi embora três dias depois veio tiraram foto depois é outro que eu não sei qual foi tirar foto novamente e a última vez viu a Cagepa de novo entrou tirou essas pedras tirou foto e foi embora já caiu um carro a comunidade que teve que ajuda a retirar esse carro do buraco entrou aí só Jesus sabe onde vai parar essa rua é importante hein Tá aí a prova a linha de ônibus passa aqui e a rua tá nessa situação e o pior não é só esse buraco aqui não os moradores me disseram que tem outro lá ali na frente vamos lá ver o outro buraco mora comigo segue para cá não pode ser o Roberto não pode acontecer isso tá errado seu Roberto Isso não é um esgoto não isso é um rio de esgoto esgoto,ruas
hora da comunidade calendário JPB de volta na rua Edésio Silva no Jardim Paulistano moradores esperam há anos pelo calçamento da rua só esse ano nós já fomos lá três vezes ele tem morador meio desanimado meio triste mas parece que agora eu sou um deles vai começar a virar realidade olha o que me Separa dos moradores como é que eu vou passar aqui aí dona Eliane viu e já disse lá e ainda bem que você veio de tênis ou preparada sempre vem preparada para o calendário minha gente sempre escorreguei não deu tudo certo mas agora a rua do poeirão virou a Rua da Lama da Lama agora ela mas ao muito muito triste muito gostosa porque a gente ama pede implora e ninguém tá dando vida ao nosso clamor que eu passo aqui é uma tristeza acaba quando o carro é o buraqueira É tô vendo a hora os pneu furado no prego nos carros que tem na rua é uma calamidade né a tristeza só esse pedaço de bolo aqui todos pagam seus impostos todos com seu compromisso né e a gente vive uma situação dessa aqui mas deixa eu dizer uma coisa não fica gostosa não que isso partiu meu coração a gente tá aqui para resolver a gente vai resolver pelo menos a gente vai lutar juntos né certo a gente tem que bater na tecla até um dia a pedra se quebrar a esperança não morre não é linda estamos aqui olha eu aqui de novo gente enquanto a gente não vê essa rua Nossa calçada nós estamos aqui direto direto com ajuda de vocês a gente vai continuar reivindicando porque não é bom a gente sair na porta de casa e vi um negócio desse aqui é um lama desse aqui e olha que nem choveu você é uma coisa eu sei que vocês estão desanimados é claro não poderiam estar diferente por quê que a gente chega quando eu chego que eu vejo que tá tudo do mesmo jeito meu Deus do céu também me dá me dá um desânimo me dá uma tristeza mas eu já chego aqui hoje com notícias da Secretaria de obras que é quem fica responsável pelo calçamento dessa rua a secretaria disse que já assinou a ordem de serviço Ou seja uma notícia da licitação mas que a licitação já foi aprovada já tem a empresa que vai fazer e que inclusive já assinou a ordem de serviço então eles pediram um prazo de um mês para começar para começar a obra mesmo então para gente que já esperou tanto não é dona Eliane você vem nos animar essa notícia pois ela vai agora sim eu gosto de ânimo Vamos mudar o clima porque olha a gente mudando Nossa energia tudo muda e já que tem esse prazo de um mês para começarem as obras aqui a gente vai voltar daqui a um mês para mostrar que ele agora eu quero mostrar máquina Quero mostrar trabalhador eu quero ver essa Rua Jaó com outro ânimo já com,ruas
