endereco,texto
"Rua Antônio Pereira, Várzea Nova, Santa Rita, Paraíba, 58300-720",estamos de volta e o calendário JPB de hoje mostra uma situação meu filho de revoltar a gente voltou para Santa Rita pela Sexta vez é que os estudante da Escola Antônio Pereira o Pereirão no Marcos Moura pedem a reforma da quadra de esportes acompanha aí e vê se eu não tô certo de ficar indignado com problema desse pessoal eu fico para não viver com esse negócio que eu tô vendo aqui no Marcos Moura em Santa Rita isso aqui onde a gente tá vai mostrando o ambiente é o Ginásio da Escola Municipal Antônio Pereira dá para acreditar no negócio desse olha só essa criançada toda animada aqui atrás de mim se divertindo brincando passando o tempo com que tem e o que eles têm é isso aqui bora né aqui na quadra do Pereirão e vamos ajudar embora porque a missão da gente é dura mas a gente não corre não é a quantidade de lixo que tem aqui ao redor do ginásio e se dá para acreditar em que a prefeitura de Santa Rita está fazendo com esse pessoal sorriso no rosto a gente vê que cada criança dessa tem mesmo na situação dessa Pois é infelizmente assim é o que a gente tem né É um acidente né o sol que está aqui na luta desistir jamais coração dói no coração porque Infelizmente quem poderia muito bem organizar esse espaço não estão de parabéns nós queremos dignidade dignidade já tem um espaço eficiente e de qualidade para as nossas crianças para os nossos adolescentes que muita das vezes vivem em uma em um meio de vulnerabilidade social infelizmente poder público não ajuda para que essas crianças possam estar aqui brincando e se divertindo quando a criança tá brincando sobre a supervisão dos professores ainda vai agora quando não tem nenhum adulto por perto e eles atendem bater uma bolinha se divertir e Acontece uma coisa como essa vai para onde no meio desse lixo desse negócio tudinho aqui não sabe nem o que tem dentro dessa vez eu vou eu tô te sapato agora vem mesmo Vem mesmo onde é que esse menino entrar para pegar essa bola o que vi no teu pé à cabeça do desse menino que foi isso aqui na quadra É sério mesmo Inclusive a gente flagrou Pessoal colocando o lixo ali bota a imagem aí eu só colocando o lixo piorando ainda mais a situação aqui na localidade propriado para tá colocando o lixo não e a prefeitura primeiro tem que recolher o que tá aqui e a população as pessoas que moram por aqui então
"Avenida Princesa Isabel, Centro, João Pessoa, Paraíba, 58013-190",ginásio Prontinho mais fechado e aí do que adianta essa situação tava aborrecendo os moradores do bairro Itambi aqui na capital ele chamaram calendário JPB a gente teve lá mostrou o problema e ontem nós voltamos para saber como tudo estava então confira a primeira vez que o calendário esteve aqui nessa praça no bairro Tambiá os moradores tavam reclamando bastante Isso foi em fevereiro tá lembrado carinho tem a nora esteve aqui mostrando que esse ginásio podia estar servindo a comunidade podia tá aí aberto para prática de esportes recebendo os jovens recebendo os eventos aqui de Itumbiara estava simplesmente reformado e Fechado Como pode isso a prefeitura se comprometeu em resolver esse problema quanto antes Será que em maio meses depois esse problema já foi resolvido calendário JPB Está no Ar prefeitura prometeu que dia 27 de maio tá aqui a gente marcou no calendário da comunidade o problema está resolvido resolveram Resolveram e na verdade está em andamento né Nós vamos ter isso aqui como isso para gente quando realmente é a chave estiver na mão da população mesmo para que a gente possa usar o ginásio é por enquanto estão reformando vocês viram aí estão fazendo a limpeza para colocar os coletores que ela pediu o nosso também e aí em relação ao ginásio que estava com infiltração já estão fizeram o serviço aí com mantas e fizeram essa calça jeans redor para ele tá a impermeabilização da água é para causar paralisação a gente observa quem realmente gente trabalhando aqui fazendo a limpeza manutenção da Praça da praça quanto do ginásio ginásio podia atender a comunidade exatamente em que que a comunidade tá sentindo falta de sinal aberto funcionando hoje dentro desse desse bairro esse ginásio ele tem o Ofício de diversas possibilidades como por exemplo aniversários como por exemplo eventos das igrejas católicas como evangélica centro-bairro como também é reuniões do bairro certo eventos como por exemplo esportivos em que a gente tem esse aqui também é um é um clamor que a gente faz acerca disso porque nós temos filhos no bairro parado a gente traz o nosso neto tá aqui os filhos para brincar tem churrasco tem batatinha lanchonete as pessoas que precisam né de vender e a gente tá tudo aqui no tempo das sexta sábado e agora vai ficar melhor né eu tô muito feliz pelo andamento já tá mais ou menos aí 90% concluídas as obras Então tá mais perto do que ele já teve Pior né que aquele pião e Espero melhorar cada dia mais 27 de maio Como prometido estamos de volta aí a prefeitura tá caminhando Então tá andamento quanto é que fica bom para voltar para ver se o ginásio foi entregue a obra está concluída se a praça tá pronta e 17 de junho pode ser bem aí quase um mês pela frente então dá tempo dá tempo de terminar de ajeitar isso aí terminar essa obra para o ginásio terminar essa Praça tá aqui 17 de junho vai cair numa quarta-feira a gente volta aqui então o calendário JPB vem para cá para Praça de Itumbiara para saber se depois de
"Galante, São José de Piranhas, Paraíba",não fala agora sabe de que calendário é a cobrança de hoje moradores do Distrito de Galante ligaram para o calendário JPB para denunciar uma quadra de esportes que existem na comunidade está abandonada e ela existe lavar os anos Marcos Vasconcelos Claro foi até lá ouvir o pessoal e conferir a reivindicação da população essa é a primeira ida do calendário a gente sempre fala que é importante praticar algum tipo de atividade física e isso em qualquer momento da vida mas é importante também que as pessoas têm um meio para poder fazer isso mas estamos nesse momento no Distrito de Galante e esse aqui é o ginásio de esportes da cidade o Rodrigão mas olha só a situação qualquer pessoa pode chegar aqui entra à vontade afinal de contas hoje ginásio está abandonado não tem sequer um segurança tomando de conta a única quadra de esportes está caindo aos pedaços o telhado do ginásio está totalmente danificado existem buracos em algumas partes em outras as telhas estão caindo os dois banheiros ligaram depósito de lixo o mau cheiro impede que qualquer um tem que entrar ruim para Rian e vai de tudo para praticar um esporte lixo aqui quando chove não dá para jogar essas coisas faz medo porque assim pode cair alguma alguma coisa Vocês têm medo de algum acidente tudo tem tem também tem marimbondo a gente vai levar uma picada alguma coisa do tipo e o risco não apenas no telhado não no caso de uma telha por exemplo cai em cima de alguém olha só essa situação basta subir apenas alguns degraus e a gente tem acesso a uma caixa de energia na verdade são duas caixas vários disjuntores tem Cruz Vivi fio solto qualquer criança pode vir aqui e colocar a mão vários jovens ainda e se arriscou frequentando ginásio eles formam times para jogar handebol por exemplo mas sabem do risco que estão correndo estamos com teto aberto os banheiros ninguém pode entrar para ser utilizado por que não tem condições de entrar pelo mau cheiro e o lixo que está comendo a quadra de Galante situação que se arrasta por anos e que se o Daniel lutou Para não acontecer por muito tempo ele cuidou do Rodrigão e sem receber nada por isso a planta que aqui passei para nos ajudava a manter esta Quadra na limpeza muitas vezes chorar e detergente e muitas coisas que a gente precisava na época lâmpada que a gente precisava Então os meninos dar uma contribuição de r$ 10 por mês mês cada racha que tinha então a gente ajuda aquele ali comprar o material comprar a rede rede que a gente ver a situação que está aqui a gente nunca deixou faltar uma rede nunca deixou de faltar bola mandei isso Limpo Banheiro limpo a água torneira chuveiro que quando eu cheguei aqui não tem
"Rua Vigário Francisco, Roger, João Pessoa, Paraíba, 58020-170",meio-dia e 40 minutos Bora de calendário JPB porque não tem notícia boa a gente pediu tanto que a prefeitura de João Pessoa se sensibilizou com casa de Dona Francisca lá no José Américo você quer companhia JPB sábado problemão que essa mulher tá enfrentando com a casa dela um buraco gigante no meio da sala Karine Tenório foi cedinho levar as boas novas para Dona Francisca bora ver olha essa madrugada foi toda de chuva quem acompanha essa história no calendário JPB sabe que toda a água que se acumula nessa rua e não é pouca vai toda para casa da Dona Francisca 1 grama que pelo andar da Carruagem tá perto de acabar a situação pelo amor de Deus é um pouco de solidariedade e amor ao próximo não existe isso mais no mundo vai como ver quando ela tiver Deus o livre nunca acham aí vai dizer se não podia ter feito alguma coisa mas não deu tempo de fazer Doutor João Geraldo que antes mesmo de começar o expediente lá no ministério público já tá aqui na comunidade Porque tem uma novidade boa né Ontem teve reunião lá o representante da prefeitura inclusive da Defesa Civil eu queria que eu dissesse para o pessoal de casa Qual foi o acordo firmado Qual foi o compromisso que a prefeitura assumiu com essa história do Dr Adelmar que é o procurador geral do município e o doutor Noé que é da Defesa Civil estiveram ontem lá no meu gabinete é meu convite e dentro dessa reunião a gente fez uma conversa aberta a conscientização do reconhecimento por parte do próprio autor del Mar que não existe nenhuma ação em tramitação de reintegração de posse Então essa questão da invasão não seria motivo nenhum que pudesse justificar a não se Socorro correr a vida que está em risco da Dona Francisca e até de outros moradores aqui presente às 12 horas da manhã eu já estava com os irmãos comunicando que iria ser feito a interdição do local e o dela ia ser interditada com indicação para ser dúvida e depois de demolição são questões técnicas e também de encaminhamento para sede que é a secretaria de Desenvolvimento Social e também para Secretaria de Habitação para que ela fosse incluída nos planos sociais da prefeitura até que possa ser contemplada com a unidade de um desses projetos da Prefeitura de habitação cheguei acompanhada de novo do promotor João Geraldo e eu tô vendo que o nosso estrela foi coordenador da Defesa Civil já tá aqui e aí eu vou tirar a senhora da sua casa porque não é como bem sabe essa casa oferece riscos e aí Noé a gente foi muito feliz com a notícia de que que até mesmo pela intermediação do Ministério Público houve um acordo houve um consenso para resolver a situação dessa moradora autorizado auxílio-aluguel para Dona Francisca assim também como ela já está escrito no programa de habitação pela Secretaria de Habitação que ela já vai receber uma nova
"Tambay, Bayeux, Paraíba",vou agora para Bahia onde o calendário acompanha a reforma de um ginásio lá no bairro de Tambaú aí tava tudo parado mas nossa última visita teve promessa hora de conferir se ela foi cumprida O problema é que a gente tá acompanhando um bom tempo é a construção de uma quadra muito bom dia minha fera capacete ficar mais bonita mais bonita sem capacete com ele tá ruim de todo jeito Faz quanto tempo que você tá esperando o ginásio fica pronto já faz tempo Faz tempo daí tem umas três questão aqui não é coisa para mais de 10 anos ela tá com mais de 10 anos falar um abraço lá a gente vai ver como é que tá o ginásio o que era tapume tá virando grade o pessoal tá fazendo a substituição Ou eles disseram que fazer pedir um prazinho aí A turma tá trabalhando se o resto que tá de olho por aqui começou quando o serviço não foi esses dias não de cabeça se parar de novo né mas pelo menos tá andando né tá vacinando Tá chegando a hora do Senhor levar a televisão para conversar com a gente mais uma vez a última visita de calendário eles disseram que iam retomar a obra que tava parado há um tempinho chegando no coração se o primeiro passo aqui foi colocar as grades e o portão para coibir as invasões e a utilização do prédio logo em seguida a gente vai entrar na manutenção aí conclusão dos banheiros alambrado fazer pintura e parte elétrica e a gente espera que nos próximos dias vem o restante do recurso fra que a gente possa de fato chegar aqui prometer um dia que a gente possa entregar essa quadra negócio aqui tá bem avançado a gente tá vendo a maior parte da estrutura já foi montada falta pouca coisa negócio de detalhe que a gente tá vendo que precisa de mais se ver vírus por aqui é o banheiro Vamos para praia hoje 17 de Maio que a gente vai fazer essa visita tá em andamento de certo segura a gente volta daqui a quanto tempo a gente pega um prazo de 30 dias para a gente voltar aqui ver novamente serviço andando na parte interna 18 de junho calendário está de volta para ver o serviço caminhando eu confesso a você que é um voto de credibilidade que a gente vai dar Vamos acreditar que querem concluir E nós queremos que seja concluído mas se aqui vou fazer isso aqui ó levou levou passou aqui ó no seu sonho senhor pegou esse desafio eu quero ver agora tô tranquilo com relação a Bahia quando a autoridade vai pessoal é uma outra situação a gente tem esperança a gente cria a expectativa se a expectativa não se concretizar o tombo ainda maior mas eu confio
"Mangabeira, Jardim Cidade Universitária, João Pessoa, Paraíba",na primeira vez que o calendário JPB esteve aqui em novembro do ano passado os moradores dessa área do bairro de Mangabeira estavam muito preocupados com isso aqui esses tanques eles fazem parte de uma obra de esgotamento sanitário da Cagepa e essa obra está parada a empresa que estava executando serviço deixou esses tanques aqui abertos o que era um perigo para as crianças e também para a saúde da comunidade porque os tanques começaram acumular água namorada perfeita para proliferação do mosquito aedes aegypti virou piscina mesmo para o mosquito que os moradores estavam muito incomodado com essa situação que resolveram chamar o calendário JPB hoje na nossa volta a gente já encontra uma realidade bem diferente uma coisa a gente garante os moradores agora tem sossego esse tanque de Tão Profundo dava até medo de olhar agora tá tampadinho concreto ninguém quer mais né Graças a Deus né pelo menos uma parte do problema foi resolvido né estamos livres da dos mosquitos das muriçocas né aquele outro tanque ali por exemplo é um risco para criança que alguma criança cair se ali ninguém conseguia ver isso né na verdade a gente aqui essa área aberta quando vocês estão vendo temos muitas crianças brincando na parte da tarde era um perigo enorme né E graças a Deus Eles vieram deram a resposta que a gente tava esperando essa volta de hoje a gente já viu que a Cagepa cumpriu com o compromisso de fechar vedar mesmo os tanques e fazer a limpeza do terreno Demorou mas chegou né tardou mas não falou ontem estiveram aqui iniciar a limpeza e graças a Deus concluíram né tanto mato aqui que eu nem conseguia ver que existiam essas Estacas daqui de ferro que também fazem parte da obra mas o mato nem deixava a gente vê isso aqui vamos ver se eles vão terminar a obra é esse é um cachorro lamento dos moradores certo a gente procurou saber disso para Cagepa E aí na nova resposta da Cagepa A informação é que essa obra vai ser retomada agora no mês de fevereiro no final do mês de fevereiro a obra vai ser retomada e a primeira etapa dela porque é uma obra grande obra de esgotamento sanitário nessa primeira etapa vai ser concluída em junho desse ano já tá agradece agradece todo coração só Esperamos que venha para liberar os esgotos né já que botaram as bocas de lobo nas nossas calçadas pelo amor de Deus que terminar o serviço a gente só quer isso o problema que trouxe o calendário para cá que era aquele urgente que era aquele que era para ontem foi resolvido ele se comprometeram inclusive de ficar esvazie ando sempre o tanque toda vez que encher então eles estão com compromisso para gente perto e aí você vai me definir o que é que a gente vai fazer daqui para frente hoje o carimbo é resolvi
"Rua Ana Vilar, Cruzeiro, Campina Grande, Paraíba, 58415-625",há 3 anos e meio é isso aí o calendário JPB começou a mostrar a luta da associação dos moradores do Novo Cruzeiro pelo calçamento e sistema de drenagem na Rua Ana Vilar pessoal sofrer muito bastante com as chuvas que invadiram as casas agora a história da mãe diferente vamos ver o desfecho dessa história com Arthur Vieira tem gente que diz que o calendário JPB não resolve resolve sim tá pensando o quê rapaz olha a gente tá aqui na Rua Ana Vilar no bairro Novo Cruzeiro essa aqui é a Rua Ana Vilar que olha só mostrou aqui no calendário dia 1º de outubro de 2015 essa data foi a primeira vez que o calendário JPB veio aqui os moradores reclamando de muitos problemas O Pesadelo maior era quando chover quem tá aqui com a gente é a Dona Maria de Lourdes que desde 2014 Vem Com a Gente me conta como era essa rua antigamente essa rua que era um carro se eu chamar vai ser o câncer do Novo Cruzeiro porque primeira mão primeiramente era a questão do esgoto era terrível as coisas pelo meio da rua e a gente correu atrás e se resolveu daí então a gente começou a buscar a questão da da pavimentação de organizar na verdade porque os moradores não tinham como viver dentro de casa pode chover em v**** contudo encheu as casas de sujeira de água de fezes e etc olha desde 2015 que a gente vinha a gente não desiste não enquanto tiver a gente vai cobrando agora eu queria agradecer a senhora vai querer conversar também com Carlos Carlos é o morador que vem com a gente desde que a gente tava aqui na primeira vez Seu Carlos hoje tudo tá voltando ao normal uma rua que hoje quando chove não fica mais como tava antigamente e ônibus voltou tudo está melhorando Como é que tá a situação do ônibus é graças a Deus é a gente hoje tá feliz né para mostrar que o problema foi resolvido Então hoje os ônibus estão voltando normal né você ver que o trânsito tá voltando ao normal Então tá fluindo a mobilidade urbana aqui do Novo Cruzeiro na questão de ônibus tá ótimo E hoje a gente tá mostrando aí através da TV com imagens que vocês vê no passado que o problema foi resolvido então a gente só tem agradecer da hora da gente criticada Lurdinha a gente critica cobra por que a gente não somos presos somos imparciais mas na hora da gente agradecer então diante mão a gente agradecendo a digestão e que agradecer a vocês a TV Paraíba pelo calendário né pelo Problema resolvido aqui no Cruzeiro Então vamos juntar agora eu vou dizer no três a gente vai carimbar para marcar aí que o calendário foi resolvido Então vamos lá 123 vamos calendário resolvido eu queria aproveitar agora também para mostrar como é que arruma ficou nessa queira Rua na Vila essa parte que vocês estão vendo aqui é onde passou a rede de drenagem de água da chuva
"Várzea Nova, Santa Rita, Paraíba",Bora de calendário vamos conversar com a minha amiga Karine Tenório hoje ela tá ao vivo em Santa Rita com os moradores de Várzea Nova Por que o bicho tá pegando por lá vamos falar com ela boa tarde Karine tem hora que a bronca aí boa tarde Bruno boa tarde para o pessoal de casa aqui a Bruna realmente é grande e aí Olha só aquele buraco que a gente mostrou no início do mês o calendário teve aqui no dia 13 de julho não é qualquer buraco não é um sim o buraco é uma cratera é uma rua totalmente tomada aqui por essa cratera e como nenhuma Providência até agora foi tomada o buraco só aumentou por exemplo essa fenda que eu não vou me aproximar muito ficar até perigoso esse terreno desmoronar essa ferida não existia quando o calendário esteve aqui a primeira vez Agora ela já tá bem grande bem profunda tem aquela barreira ali perto da casa de uma moral a dor que diz morou ontem também tem essa parte aqui do terreno que já caiu da última vez eu desci pelo buraco me apoiando nessa barreira aqui que agora tá toda desmoronado e aquela situação que a gente almoçou da última vez tem até um poste bem no meio da rua que oferece muitos riscos porque a gente não sabe até que ponto esse poste está seguro a boa notícia para hoje é que os representantes da Prefeitura de Santa Rita vieram aqui hoje de manhã ele já tinha ouvido Antes quando o calendário chegou e aí a secretária de infraestrutura tá aqui do meu lado e vai dizer o que que ela descobriu sobre esse buraco secretária primeiramente eu quero lhe agradecer pela presença aqui a gente sabe que são muitos compromissos mas também a gente sabe que a comunidade está carente acima de tudo de respostas então fica a secretaria descobriu sobre o que pode ser feito por esse buraco bom a gente fez um levantamento mento certa que existe no loteamento existe aqui uma outra área que foi a ferida como vocês podem ver que tem uma UBS sendo feita pelo Governo do Estado da Paraíba E aqui onde tem essa terraplanagem vai ser feito na escola então a gente aferiu que essa área aqui que você tá encontrando buraco pertence ao governo do estado são obras hoje da cehap em função das habitações estão sendo feitas aqui em cima e assim para não deixar a população nessa situação nós vamos mandar alguns caminhões de aterro para minimizar criativo né é um paliativo resolver efetivamente a gente precisa que o estado ele se pronuncia quantas obras de pavimentação serão feitas para acesso ao BS e acesso à escola mas a gente vai mandar um caminhão alguns caminhão de aterro para minimizar e não agravar mais a situação e tamos mandando também a equipe de iluminação Por que foi constatado que não tem iluminação nessa área para fazer as iluminação colocar os braços de luz para a população Pelo menos tem um mínimo de respeito a iluminação tá garantido tá garantida hoje a partir das 3 horas da tarde a equipe já tá vindo para começar esse processo iluminação e os caminhões já teve Chego amanhã para tentar Minimizar Entretanto a gente precisa junto com o estado comprou uma parceria para poder resolver esse problema resolver
"Rua Ascendino Toscano de Brito, Santa Cruz, Campina Grande, Paraíba, 58417-375",gente na conta de mentiroso não até porque vocês sabem que eu só trago verdades aqui na verdade 7 esse é o número de vezes que voltamos a rua Ascendino Toscano de Brito no Presidente Médici O povo tá desanimado mas o calendário JPB não desiste em hipótese alguma bora ver olha aqui olha a situação dos moradores esse seu carro seu saudade já a poeira daqui é uma vergonha uma das ruas principais do médico tá nessa situação eu sei que não sou essa rua em Campina Grande Mas essa é uma das rua principal a gente Deixou o carro na garagem fica nessa situação você não pode usar o carro para mim sair não saio altura saiu agora tá errado ali no buraco eu não tenho condição todo mundo aqui para mim por tão grande firma aqui vizinho entendeu E a situação ação é uma vergonha Quantas vezes você mesmo já veio aqui fazer matéria sete vezes você e antes Porque essa rua demorou para entrar no calendário calendário sete voltas aqui perto ali perto do acordo que já foi feito esse ano rede de esgoto e calçamento e essa aqui já tem gente não tem tudo falta só um calçamento e ele não faz a Janete me chamou aqui para falar que os filhos estão sempre adoecendo né já é verdade né meu sobrinho Isaac nessa vive doente a minha filha na Amélia também Maria Eduarda e principalmente Eu também né resolvi ficar e tem problema de sinusite e com essa rua abençoada né que já estão com cara de palhaço né que sempre eles fala que vem e te agora nada né olha essa reportagem não tô sentindo falta de nalva ela que a representante junto com Ronaldo sempre liga para mim lá e você Não fizeram nada aqui ainda é só achei Nalva tá aqui pintando mais uma placa se a Rua das placas viu minha gente bom dia laysa mais uma vez estamos aqui novamente pedindo novamente novamente a gente tá fazendo uma plaquinha aqui só para chamar atenção né do do responsável por que acho que já é sexta vez se você de sétima vez que vocês estão aqui nas eleições sempre aparece alguém sempre nem aparece dizendo que vai ser feito que a gente aguarde e até agora nada mês a mês a gente volta aqui na sede dos canos de Brito e não veio nada resolvido quando a gente marca com secretária com o responsável com engenheiro em cima da hora não não podemos ir mandar uma resposta dizendo que essa rua tá passando por análises que a empresa responsável pelas obras está fazendo o estudo da área do solo para fazer a terraplanagem para depois começar a saber de onde Quais são os bairros que vão começar a serem calçadas as ruas e aí enquanto isso os moradores ficam como esperando esperando esperando é decepcionante a gente vai marcar aí calendário não resolvido só que não adianta por mais que seja decepcionante a gente volta
"Rua Nossa Senhora da Paz, Grotão, João Pessoa, Paraíba, 58079-790",tá na hora do calendário JPB a mais de 40 dias o calendário JPB vem acompanhando o caso da Rua Nossa Senhora da Paz lá no Grotão paz por lá era que os moradores não tinham mesmo era buraco não acabava mais mas a situação mudou Então vamos conferir para você de casa isso pode ser barulho para mim é música porque isso significa que a Cagepa vai terminar o serviço aqui na comunidade e aquela buraqueira na Rua Nossa Senhora da Paz vai acabar a gente sabe que toda obra traz transtorno ainda mais para uma rua movimentada como essa só esse pedaço passinho que a Cagepa teve que interditar aqui para fazer o serviço tá uma confusão danada no trânsito Infelizmente o transtorno acontece porque aqui é uma área de muito transeuntes ônibus mas a gente vai lutando e tentando resolver esses questionamentos tinha dado um prazo para gente de 10 dias para concluir esse serviço a gente estender um pouquinho para 15 dias acontece que choveu demais Todo mundo sabe que nos últimos dias choveu muito infelizmente esse serviço só pode ser feito em dias de sol vai terminar hoje né a gente não com chuva agora para o chuveiro estamos concluindo vamos terminar hoje porque essa obra vai beneficiar 25 Bairro daqui da zona sul é um reforço do abastecimento da água para que horas a água chegue com conforto quantidade suficiente e evitar em intermitência e a conclusão começo a você é em janeiro de 2018 quando eu sei que não é culpa de vocês né tem esses buracos aqui na rua como esse que é bem Generoso por sinal um buraco grande eu sei que não é responsabilidade da Cagepa Porque aqui não foi feito o serviço nenhum da Cagepa mas dá para dar uma concertada aqui na rua mesmo assim eu já estou autorizando a contratada Construtora contratada a executar essa reposição desse buraco para deixar Rua 100% dos moradores aliviar os moradores lábios hoje vai se embora o problema vamos lá atrás do seu João e dos outros moradores da Rua obrigado hein gente Bom trabalho aí antes tarde do que nunca né Graças a Deus porque aqui tava horrível viu Muita lama essa buraqueira aqui agora vai melhorar agora sim agora graças ao calendário JPB né Vocês não esse apoio aqui foi oi demais Cadê o homem bravo da Rua Thales Escondidinho atrás da árvore E aí seu João Até que enfim né aquele buraco que tinha aqui
"Rua Industrial João Úrsulo, Cristo Redentor, João Pessoa, Paraíba, 58071-400",mês passado os moradores da Rua Industrial João úrsulo no bairro do Cristo aqui em João Pessoa chamaram o calendário JPB para uma missão eles queriam que a prefeitura limpasse essa escadaria aqui ó que é bem movimentada tem lá no bairro já tive por lá e aí tinha sujeira mato Parecia um caminho do terror aparecer rato escorpião tudo que não presta hoje tem carimbo de Resolvido tá tudo sem mato por lá então bora ver junto e também comemorar juntos embora esse calendário vou te dizer viu o bicho é danado quando agarra um negócio só larga quando resolve faz um favor faz uma imagem aí de onde você tá pegando a escada toda de baixo até em cima que o mágico da edição menina Elias vai colocar imagem dividida como estava escadaria E como tá agora tá diferente não tá não é graças a Deus meu calendário calendário vem e resolve os problemas né e a gente tá vendo aí hoje a escada limpa é hoje acabou sub-17 o rato Cobra esse que tava acontecendo na escada graças a Deus acabou e eu queria agradecer a equipe da Elo a Paulo e a Josa que é o cabeça daqui e os guerreiros é muito trabalhador menino na lama como a água foi o que eles falaram para mim quero deixar uma pessoa aí a população da escada aí fora da escadaria que não jogue mais lixo na escada porque prejudica a gente prejudicar eles também que joga lixo na escada recado que você deu é importante demais viu nada de tá jogando lixo na escadaria que se acumula E aí de uma hora para outra vai ficar tudo do mesmo jeito não pode mas me deu uma coisa já deu uma chuvarada boa depois que ele já deu uma chuva boa desceu água tranquila aí não desceu mais com lixo tá tudo tranquilo agora graças a Deus escadaria Tá bonito tá graças a Deus agora tá ótima graças a Deus ajuda de vocês e principalmente né o pessoal que trabalharam aí né Eu Sou atencioso demais parece osu né A gente só tem agradecer com todo mundo feliz da vida porque a escadaria tá linda tá bonita tá sem marca tá sem lixo pedindo a colaboração dos moradores que Parem de colocar lixo onde não deve e claro agradecendo ao trabalho daí Lucas só da Prefeitura e foi atencioso demais com a turma aqui da rua fizeram serviços rapidinho deixaram tudo primeira de luxo segura aqui e a gente vai carimbar o cara mais bonito que existe nesse calendário é o de Resolvido rapaz sabe né quando precisar pode chamar vamos terminar você novamente e aperreia que nada têm a perder sou eu tu tinha medo de passar pela escadaria não tinha não você já deu uma olhadinha como é que tá lá mais bonito
"Tambay, Bayeux, Paraíba",a gente continua nossa parceria forte com a comunidade é hora do calendário JPB de hoje a gente vai saber como anda a obra do ginásio de esportes no bairro de Tambaú aí o negócio andou pessoal começou a maior parece que brecou e o Danilo Alves vai explicar para gente passa por aqui sempre sobra nessa quadra aqui que não termina nunca vi nada aqui mesmo aqui tá um bocado de tempo nunca vi você Bastião saiu seu Sebastião chegou seu Regis das outras vezes que a gente veio aqui entre a obra caminhando o funcionário voltar pessoa trabalhando eu tava mais animado tava não com certeza tava muito animada aí depois que vocês saíram primeiro pessoal sumiu todo mundo dona Ângela mês de junho festa junina Júlio tem o quê Julho férias férias da criançada E aí mais umas férias mais um ano de férias e Acorda desse jeito do mesmo jeito estou perdendo as esperanças não faz isso vai dar certo que Deus é mais minha filha tudo bem Toda hora joga bola direitinho mais ou menos o que é ruim aceita eu Falta muito pouco para ser concluído infelizmente abandonado você ver portão fechado e nada se faz a última vez que a gente vê aqui o pessoal tava trabalhando para colar essas grades aí colocaram grade de uma ponta a outra aqui do ginásio colocou o portão para evitar também que as pessoas fica invadindo o portão tá aqui o problema é que parou por aí que é que aconteceu ontem a gente tava tudo animado tava andando bem direitinho tava na expectativa de pelo menos iniciar o serviço lá no banheiro porque hoje pois é a gente ainda volta a bater na tecla do da disponibilidade de recursos né a gente alimenta o sistema do FNDE mas ainda dentro desse prazo de 30 dias não tivemos respostas a disponibilidade de recursos próprios que também serve para o pagamento da quadra ainda é escassa devida a obrigatoriedade de pagar a folha de pagamento que são as despesas obrigatórias do município e aí aquele efeito do lençol curto se cobrir a cabeça descobre os pés e cinco meus pés descobre a cabeça mas a gente ainda teve alguns encaminhamentos que foi a solicitação da água e energia para quadra né como também a gente finalizou a proteção para que os pessoal não não voltassem invadir e de pedra' o prédio que em algum em alguns pontos já tem algo entregue a gente pede novamente prazo para que o efeito nos traz
"Rua dos Colibris, Cidade dos Colibris, João Pessoa, Paraíba, 58073-348",o calendário JPB começa hoje uma nova jornada desta vez no bairro Colibris o problema lá é a falta de saneamento obra até chegou mas quando a gente começa a passar a vassoura aqui a gente vai descobrindo que tem uma espécie de tesouro enterrado nessa rua é uma obra de saneamento mas infelizmente esse tesouro ainda não pode ser descoberto por total porque a obra está parada e os moradores daqui querem saber quando ela vai ser retomada e esse é o mais novo endereço do calendário JPB faz tempo que seu Pedro tenta varrer Tenta descobrir um pouquinho dessa história porque a Cagepa começou uma obra que nessa rua parou aqui um ano e dois meses completando hoje essa rua daqui para lá foi aberta aberta e colocado as manilhas e interrompida aqui e outras ruas aconteceu a mesma obra esta feito só até no na creche até a creche está com corrida mas só sem liberar ainda a passagem do esgoto e depois disso gente espero que foi falta de verba que eles falaram para a gente só foi isso quando eles suspenderam a obra disseram aqui que era falta de pagamento que tinha pedido a obra não tinha uma vergonha Ninguém sabe né Vocês querem uma resposta loja quero uma resposta porque o dinheiro foi agora foi entregue ou verbo uma coisa é certa todo toda vez para uma obra começar não vem verba para fazer pela metade não vem verba para fazer a obra toda a gente fica assim sem sem saber o que fazer com essa com essa atitude deles né que começa um trabalho de desenvolvimento grande rápido como eles iam fazendo e de repente Parar de dizer faltou verba como é que a gente fica no início a gente ficou muito animado achando que ia ser um benefício para nós nessa rua né mas começou e rapidamente parou e nós ficamos na expectativa né não é só para os moradores dessa rua não a gente tem informações que essa obra vai atender todo um bairro né todo uma região aqui de João Pessoa porque eu tenho recebido e-mail constantes de moradores que moram aqui nessa área da Cidade me falando do mesmo problema pronta para aliviar a nossa situação aqui de esgoto uma rua onde não tem saneamento básico os moradores precisam ter fossa as forças e enche muito rápido e a gente não tem condições de toda hora tá está desbotando né
